iter	Logloss
0	0.6883417969
1	0.683502832
2	0.678929248
3	0.674319873
4	0.6699405762
5	0.6656372559
6	0.6613352539
7	0.657248291
8	0.653419873
9	0.6495151855
10	0.645733252
11	0.6418797852
12	0.6381052734
13	0.6345046875
14	0.6308812012
15	0.6275280273
16	0.6241746582
17	0.6209636719
18	0.617771582
19	0.6146034668
20	0.6115187988
21	0.6087121094
22	0.6057594727
23	0.6028875977
24	0.6001143066
25	0.5973289063
26	0.5947081055
27	0.5922785645
28	0.5897052246
29	0.5871592285
30	0.5847172852
31	0.5823030762
32	0.579978125
33	0.5777504395
34	0.5756384766
35	0.5735410645
36	0.5714085449
37	0.5693446289
38	0.5672521484
39	0.5651835449
40	0.5632138672
41	0.5613473145
42	0.5594697266
43	0.5576901855
44	0.5558777832
45	0.5541386719
46	0.5524075195
47	0.5507456055
48	0.5491279785
49	0.5475121094
50	0.5459501465
51	0.544452002
52	0.5430023438
53	0.5415177246
54	0.5401488281
55	0.5387772949
56	0.5374160645
57	0.5360438965
58	0.5347993652
59	0.5335333496
60	0.5322395508
61	0.5310712891
62	0.5299675781
63	0.5288174805
64	0.5276866699
65	0.5266933105
66	0.5255806152
67	0.5244835449
68	0.523468457
69	0.5224334473
70	0.5214568848
71	0.5205291992
72	0.5196077637
73	0.5186697266
74	0.5177948242
75	0.5168830078
76	0.5160382812
77	0.515177832
78	0.5143160645
79	0.5134946289
80	0.5127064941
81	0.5118645508
82	0.5110613281
83	0.5102810547
84	0.5094857422
85	0.5087584961
86	0.5080408203
87	0.5073240234
88	0.5066415527
89	0.5059468262
90	0.5053027344
91	0.5046456055
92	0.5039836914
93	0.5033680176
94	0.5027400879
95	0.5021410156
96	0.5015410645
97	0.5009578613
98	0.5003871582
99	0.4998266113
100	0.4992915527
101	0.4987749023
102	0.4983058105
103	0.4977831543
104	0.4972768066
105	0.4968026855
106	0.4963708984
107	0.4959448242
108	0.495457373
109	0.4950013672
110	0.4945328613
111	0.4941082031
112	0.4937161621
113	0.4932777832
114	0.4928641602
115	0.4924594727
116	0.4920788574
117	0.4917224609
118	0.491336377
119	0.4909875
120	0.4905844238
121	0.4902486328
122	0.4898927734
123	0.4895222168
124	0.4892090332
125	0.4888587402
126	0.4884954102
127	0.4881635742
128	0.4878191406
129	0.4875273926
130	0.4872071289
131	0.4869188965
132	0.4866126953
133	0.486320752
134	0.4860376953
135	0.4857421387
136	0.4854724121
137	0.4852013184
138	0.4849307129
139	0.4846687988
140	0.4844195801
141	0.4841566895
142	0.4838908203
143	0.4836668945
144	0.4834
145	0.4831766113
146	0.4829541504
147	0.4827137695
148	0.482491748
149	0.4822618164
150	0.4820403809
151	0.4818464844
152	0.4816247559
153	0.4814021484
154	0.4812319824
155	0.4809994629
156	0.4808336914
157	0.4806503906
158	0.4804804688
159	0.4802973633
160	0.4800925781
161	0.4799447754
162	0.4797739746
163	0.4796078613
164	0.4794283691
165	0.479253418
166	0.4790785645
167	0.4789520508
168	0.4787669434
169	0.4786207031
170	0.4784849609
171	0.4783396484
