iter	Passed	Remaining
408	5302	7662
409	5315	7649
410	5328	7636
411	5341	7622
412	5353	7609
413	5366	7595
414	5379	7583
415	5392	7570
416	5406	7558
417	5420	7546
418	5434	7535
419	5448	7523
420	5461	7511
421	5475	7499
422	5488	7487
423	5502	7475
424	5516	7462
425	5529	7450
426	5543	7438
427	5556	7425
428	5570	7414
429	5583	7401
430	5596	7388
431	5608	7374
432	5621	7361
433	5633	7347
434	5646	7333
435	5658	7320
436	5671	7306
437	5683	7292
438	5696	7279
439	5709	7266
440	5722	7253
441	5734	7239
442	5747	7226
443	5759	7212
444	5772	7199
445	5785	7186
446	5798	7172
447	5810	7159
448	5823	7146
449	5836	7132
450	5848	7119
451	5860	7105
452	5873	7092
453	5886	7079
454	5898	7065
455	5911	7052
456	5924	7039
457	5936	7025
458	5949	7012
459	5962	6999
460	5975	6986
461	5987	6972
462	6000	6959
463	6013	6946
464	6026	6933
465	6038	6919
466	6051	6906
467	6063	6892
468	6076	6879
469	6089	6866
470	6101	6853
471	6114	6839
472	6127	6826
473	6139	6813
474	6152	6799
475	6164	6786
476	6177	6773
477	6190	6759
478	6202	6746
479	6215	6733
480	6228	6720
481	6240	6706
482	6252	6692
483	6265	6680
484	6278	6666
485	6290	6653
486	6303	6639
487	6316	6626
488	6329	6613
489	6341	6600
490	6354	6587
491	6367	6574
492	6379	6561
493	6392	6547
494	6405	6534
495	6417	6521
496	6430	6508
497	6443	6494
498	6455	6481
499	6468	6468
500	6480	6455
501	6493	6441
502	6506	6428
503	6518	6415
504	6531	6402
505	6543	6388
506	6556	6375
507	6569	6362
508	6581	6349
509	6594	6336
510	6607	6322
511	6619	6309
512	6633	6297
513	6645	6283
514	6659	6271
515	6672	6258
516	6685	6246
517	6698	6232
518	6711	6220
519	6724	6207
520	6736	6193
521	6749	6180
522	6762	6167
523	6775	6154
524	6787	6141
525	6800	6127
526	6812	6114
527	6825	6101
528	6838	6088
529	6850	6075
530	6863	6061
531	6876	6049
532	6888	6035
533	6901	6022
534	6914	6009
535	6927	5996
536	6939	5983
537	6952	5970
538	6965	5957
539	6978	5944
540	6990	5931
541	7003	5917
542	7016	5904
543	7029	5891
544	7041	5878
545	7053	5865
546	7066	5852
547	7079	5839
548	7092	5826
549	7105	5813
550	7119	5801
551	7133	5789
552	7147	5777
553	7161	5765
554	7175	5752
555	7188	5740
556	7202	5728
557	7215	5715
558	7228	5703
559	7243	5690
560	7256	5678
561	7270	5666
562	7284	5654
563	7297	5641
564	7311	5629
565	7325	5616
566	7338	5604
567	7351	5591
568	7364	5578
569	7377	5565
570	7390	5552
571	7402	5538
572	7415	5525
573	7428	5512
574	7440	5499
575	7452	5486
576	7465	5473
577	7478	5460
578	7491	5446
579	7503	5433
580	7516	5420
581	7528	5407
582	7541	5394
583	7554	5381
584	7567	5368
585	7579	5354
586	7591	5341
587	7604	5328
588	7617	5315
589	7629	5301
590	7641	5288
591	7654	5275
592	7667	5262
593	7679	5249
594	7692	5235
595	7704	5222
596	7717	5209
597	7730	5196
598	7742	5183
599	7755	5170
600	7768	5157
601	7780	5144
602	7793	5130
603	7806	5117
604	7818	5104
605	7831	5091
606	7843	5078
607	7856	5065
608	7869	5052
609	7882	5039
610	7894	5026
611	7907	5013
612	7919	5000
613	7932	4986
614	7944	4973
615	7957	4960
616	7970	4947
617	7982	4934
618	7994	4920
619	8007	4907
620	8020	4894
621	8032	4881
622	8045	4868
623	8058	4855
624	8070	4842
625	8083	4829
626	8095	4816
627	8108	4803
628	8121	4790
629	8133	4776
630	8146	4763
631	8158	4750
632	8171	4737
633	8184	4724
634	8196	4711
635	8209	4698
636	8221	4685
637	8234	4672
638	8246	4658
639	8259	4645
640	8272	4632
641	8284	4619
642	8297	4606
643	8310	4593
644	8322	4580
645	8335	4567
646	8347	4554
647	8360	4541
648	8372	4528
649	8385	4515
650	8397	4501
651	8410	4489
652	8423	4476
653	8435	4463
654	8448	4449
655	8460	4436
656	8473	4423
657	8486	4410
658	8498	4397
659	8511	4384
660	8523	4371
661	8536	4358
662	8548	4345
663	8561	4332
664	8574	4319
665	8586	4306
666	8599	4293
667	8611	4280
668	8624	4267
669	8637	4254
670	8649	4240
671	8662	4228
672	8675	4215
673	8687	4202
674	8701	4189
675	8713	4176
676	8726	4163
677	8739	4150
678	8751	4137
679	8764	4124
680	8777	4111
681	8789	4098
682	8802	4085
683	8815	4072
684	8828	4059
685	8840	4046
686	8853	4033
687	8867	4021
688	8881	4008
689	8894	3996
690	8908	3983
691	8922	3971
692	8935	3958
693	8949	3945
694	8963	3933
695	8976	3920
696	8990	3908
697	9003	3895
698	9017	3882
699	9030	3870
700	9043	3857
701	9056	3844
702	9068	3831
703	9081	3818
704	9094	3805
705	9106	3792
706	9119	3779
707	9131	3766
708	9144	3753
709	9156	3740
710	9169	3727
711	9181	3714
712	9194	3700
713	9207	3688
714	9220	3675
715	9232	3662
716	9245	3649
717	9257	3636
718	9270	3623
719	9283	3610
720	9295	3597
721	9308	3584
722	9321	3571
723	9333	3558
