iter	Passed	Remaining
408	5084	7347
409	5097	7336
410	5110	7323
411	5122	7311
412	5135	7298
413	5147	7286
414	5160	7273
415	5172	7261
416	5184	7248
417	5197	7236
418	5210	7224
419	5222	7211
420	5234	7199
421	5247	7186
422	5259	7174
423	5273	7163
424	5285	7151
425	5298	7138
426	5310	7126
427	5322	7113
428	5335	7101
429	5347	7089
430	5360	7076
431	5372	7064
432	5386	7053
433	5398	7040
434	5411	7028
435	5423	7015
436	5436	7003
437	5448	6991
438	5461	6979
439	5474	6967
440	5487	6955
441	5500	6943
442	5512	6931
443	5525	6918
444	5537	6906
445	5550	6893
446	5562	6881
447	5575	6869
448	5587	6856
449	5599	6843
450	5613	6832
451	5625	6820
452	5637	6807
453	5650	6795
454	5662	6782
455	5674	6770
456	5687	6757
457	5700	6746
458	5713	6734
459	5726	6721
460	5738	6709
461	5751	6697
462	5764	6685
463	5776	6673
464	5789	6660
465	5801	6647
466	5813	6635
467	5826	6623
468	5840	6612
469	5853	6600
470	5865	6587
471	5877	6575
472	5891	6563
473	5903	6551
474	5916	6539
475	5928	6526
476	5941	6514
477	5953	6501
478	5966	6490
479	5979	6477
480	5991	6465
481	6004	6452
482	6016	6439
483	6028	6427
484	6041	6414
485	6053	6402
486	6065	6389
487	6078	6377
488	6090	6364
489	6102	6351
490	6115	6339
491	6127	6326
492	6141	6315
493	6153	6303
494	6166	6290
495	6178	6278
496	6191	6265
497	6203	6253
498	6215	6240
499	6228	6228
500	6242	6217
501	6254	6204
502	6266	6192
503	6279	6179
504	6291	6166
505	6303	6154
506	6316	6141
507	6328	6129
508	6342	6117
509	6354	6105
510	6367	6092
511	6379	6080
512	6392	6068
513	6404	6055
514	6416	6042
515	6429	6030
516	6441	6018
517	6453	6005
518	6466	5993
519	6480	5981
520	6494	5970
521	6506	5958
522	6518	5945
523	6531	5932
524	6543	5920
525	6557	5908
526	6569	5896
527	6582	5883
528	6594	5871
529	6606	5858
530	6619	5846
531	6632	5834
532	6645	5822
533	6657	5809
534	6669	5797
535	6682	5784
536	6694	5772
537	6706	5759
538	6719	5746
539	6731	5734
540	6743	5721
541	6756	5709
542	6770	5697
543	6782	5685
544	6794	5672
545	6807	5660
546	6819	5647
547	6831	5635
548	6845	5623
549	6858	5611
550	6870	5598
551	6882	5586
552	6895	5573
553	6909	5562
554	6921	5549
555	6933	5537
556	6946	5524
557	6958	5512
558	6971	5499
559	6983	5486
560	6996	5474
561	7009	5462
562	7021	5450
563	7034	5437
564	7046	5425
565	7060	5413
566	7072	5401
567	7085	5388
568	7097	5376
569	7110	5363
570	7122	5351
571	7134	5338
572	7146	5325
573	7159	5313
574	7172	5301
575	7185	5289
576	7198	5277
577	7210	5264
578	7223	5251
579	7235	5239
580	7247	5226
581	7260	5214
582	7272	5201
583	7286	5190
584	7298	5177
585	7311	5165
586	7323	5152
587	7336	5140
588	7349	5128
589	7361	5115
590	7374	5103
591	7386	5090
592	7398	5078
593	7411	5065
594	7423	5053
595	7435	5040
596	7448	5028
597	7461	5016
598	7475	5004
599	7488	4992
600	7501	4980
601	7513	4967
602	7526	4954
603	7538	4942
604	7550	4929
605	7563	4917
606	7575	4904
607	7587	4892
608	7599	4879
609	7612	4866
610	7624	4854
611	7638	4842
612	7650	4830
613	7664	4818
614	7676	4805
615	7689	4793
616	7701	4780
617	7714	4768
618	7726	4755
619	7738	4743
620	7750	4730
621	7763	4717
622	7775	4705
623	7787	4692
624	7800	4680
625	7812	4667
626	7824	4654
627	7837	4642
628	7850	4630
629	7863	4618
630	7875	4605
631	7888	4593
632	7900	4580
633	7914	4568
634	7927	4556
635	7939	4543
636	7951	4531
637	7964	4518
638	7977	4506
639	7990	4494
640	8002	4481
641	8014	4469
642	8027	4456
643	8039	4444
644	8052	4431
645	8064	4419
646	8076	4406
647	8090	4394
648	8102	4382
649	8115	4369
650	8127	4357
651	8139	4344
652	8152	4332
653	8165	4320
654	8178	4307
655	8190	4295
656	8203	4282
657	8215	4270
658	8228	4258
659	8241	4245
660	8254	4233
661	8266	4220
662	8278	4207
663	8290	4195
664	8303	4183
665	8317	4171
666	8329	4158
667	8342	4146
668	8354	4133
669	8368	4121
670	8381	4109
671	8393	4096
672	8405	4084
673	8418	4071
674	8430	4059
675	8442	4046
676	8455	4034
677	8468	4021
678	8481	4009
679	8493	3997
680	8506	3984
681	8518	3972
682	8532	3959
683	8544	3947
684	8556	3934
685	8569	3922
686	8581	3909
687	8595	3897
688	8607	3885
689	8620	3872
690	8632	3860
691	8645	3847
692	8658	3835
693	8671	3823
694	8684	3811
695	8696	3798
696	8709	3786
697	8722	3773
698	8734	3761
699	8746	3748
700	8759	3736
701	8771	3723
702	8783	3711
703	8796	3698
704	8808	3685
705	8821	3673
706	8833	3660
707	8845	3648
708	8858	3635
709	8870	3623
710	8883	3610
711	8895	3598
712	8907	3585
713	8920	3573
714	8932	3560
715	8944	3547
716	8957	3535
717	8969	3522
718	8981	3510
719	8994	3497
720	9006	3485
721	9018	3472
722	9031	3460
723	9043	3447
724	9055	3434
725	9068	3422
726	9080	3409
727	9092	3397
728	9105	3384
729	9117	3372
730	9129	3359
731	9142	3347
732	9154	3334
733	9166	3322
734	9179	3309
735	9191	3297
736	9204	3284
737	9218	3272
738	9230	3260
739	9243	3247
740	9255	3235
741	9268	3222
742	9280	3210
743	9293	3197
744	9305	3185
745	9319	3173
746	9331	3160
747	9343	3147
748	9356	3135
749	9368	3122
750	9381	3110
751	9393	3097
752	9405	3085
753	9418	3072
754	9432	3060
755	9444	3048
756	9457	3035
757	9470	3023
758	9483	3011
759	9495	2998
760	9508	2986
761	9520	2973
762	9533	2961
763	9545	2948
764	9558	2936
765	9571	2924
766	9584	2911
767	9596	2898
768	9609	2886
769	9621	2873
770	9633	2861
771	9646	2848
772	9659	2836
773	9671	2824
774	9684	2811
775	9696	2799
776	9709	2786
777	9723	2774
778	9735	2761
779	9747	2749
780	9760	2736
781	9772	2724
782	9786	2712
783	9798	2699
784	9811	2687
785	9823	2674
786	9836	2662
787	9848	2649
788	9861	2637
789	9874	2624
790	9887	2612
791	9900	2600
792	9912	2587
793	9924	2574
794	9937	2562
795	9949	2549
796	9962	2537
797	9974	2524
798	9987	2512
799	10000	2500
800	10012	2487
801	10025	2475
802	10037	2462
803	10049	2449
804	10062	2437
805	10074	2424
806	10086	2412
807	10099	2399
808	10111	2387
809	10123	2374
810	10136	2362
811	10150	2350
812	10162	2337
813	10175	2325
814	10188	2312
815	10200	2300
816	10213	2287
817	10226	2275
818	10238	2262
819	10251	2250
820	10263	2237
821	10275	2225
822	10288	2212
823	10300	2200
824	10312	2187
825	10325	2175
826	10337	2162
827	10350	2150
828	10364	2137
829	10376	2125
830	10389	2112
831	10401	2100
832	10414	2087
833	10427	2075
834	10440	2063
835	10452	2050
836	10466	2038
837	10479	2025
838	10493	2013
839	10505	2001
840	10518	1988
841	10530	1976
842	10543	1963
843	10555	1950
844	10567	1938
845	10580	1925
846	10594	1913
847	10606	1901
848	10618	1888
849	10631	1876
850	10643	1863
851	10655	1851
852	10668	1838
853	10680	1825
854	10693	1813
855	10706	1801
856	10718	1788
857	10731	1776
858	10743	1763
859	10755	1750
860	10768	1738
861	10780	1725
862	10793	1713
863	10805	1700
864	10817	1688
865	10830	1675
866	10842	1663
867	10854	1650
868	10867	1638
869	10879	1625
870	10891	1613
871	10904	1600
872	10916	1588
873	10928	1575
874	10941	1563
875	10953	1550
876	10966	1538
877	10978	1525
878	10991	1512
879	11003	1500
880	11015	1487
881	11028	1475
882	11040	1462
883	11052	1450
884	11065	1437
885	11077	1425
886	11091	1412
887	11103	1400
888	11115	1387
889	11128	1375
890	11140	1362
891	11154	1350
892	11166	1337
893	11179	1325
894	11191	1312
895	11203	1300
896	11216	1287
897	11228	1275
898	11240	1262
899	11253	1250
